"ID_REGION";"LIB_REGION";"ID_ZONE";"LIB_ZONE";"ID_AGENCE";"LIB_AGENCE";"COMPANY"
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"282";AGENCE KSOUR ESSEF (S2);TN0021282
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"11";AGENCE OUESLATIA (11);TN0021011
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"276";AGENCE KALAA KEBIRA (R6);TN0021276
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"225";AGENCE HAMMAM SOUSSE- MENCHIA (M5);TN0021225
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"228";AGENCE SOUSSE SIDI ABDELHAMID (M8);TN0021228
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"301";AGENCE AKOUDA (U1);TN0021301
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"309";AGENCE SAHLOUL 2 (U9);TN0021309
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"9";AGENCE HAMMAM SOUSSE (09);TN0021009
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"238";AGENCE SIDI HASSINE (N8);TN0021238
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"202";AGENCE MGHIRA (K2);TN0021202
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"292";AGENCE ZAGHOUAN (T2);TN0021292
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"69";AGENCE AVENUE DE CARTHAGE (69);TN0021069
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"235";AGENCE SILIANA (N5);TN0021235
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"275";AGENCE RAS JEBEL (R5);TN0021275
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"296";AGENCE TAJEROUINE (T6);TN0021296
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"298";AGENCE MEDJEZ EL BAB (T8);TN0021298
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"50";AGENCE BIZERTE (50);TN0021050
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"55";AGENCE MATEUR (55);TN0021055
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"13";AGENCE JAMEL ABDENNACEUR (13);TN0021013
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"79";AGENCE TUNIS MEDINA (79);TN0021079
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"236";AGENCE SIDI BOUZID (N6);TN0021236
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"125";AGENCE DJERBA MIDOUNE (C5);TN0021125
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"136";AGENCE ZARZIS (D6);TN0021136
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"290";AGENCE TATAOUINE (T9);TN0021290
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"40";AGENCE SFAX HARZALLAH (40);TN0021040
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"42";AGENCE SFAX MARLBURG (42);TN0021042
"728";DIRECTION REGIONALE TUNIS 1;"579";ZONE TUNIS SUD;"112";AGENCE HAMMAM LIF (B2);TN0021112
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"319";AGENCE MONASTIR IV (V9);TN0021319
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"229";AGENCE AIN ZAGHOUAN (M9);TN0021229
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"281";AG SFAX ROUTE MENZEL CHAKER (S1);TN0021281
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"305";AGENCE SFAX ROUTE SALTNIA (U5);TN0021305
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"318";AGENCE SFAX HOTEL IBIS (V8);TN0021318
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"288";AGENCE BORJ LOUZIR (S8);TN0021288
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"227";AGENCE SOLIMAN (M7);TN0021227
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"304";AGENCE SOUASSI (U4);TN0021304
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"10";AGENCE KAIROUAN (10);TN0021010
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"203";AGENCE SAHLINE (K3);TN0021203
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"129";AGENCE ENNASR II (C9);TN0021129
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"133";AGENCE SOUSSE HACHED (D3);TN0021133
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"22";AGENCE SOUSSE NORD (22);TN0021022
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"302";AGENCE CITE EZZOUHOUR (U2);TN0021302
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"78";AGENCE RUE EL JAZIRA II (78);TN0021078
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"139";AGENCE EL FAHS (D9);TN0021139
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"279";AGENCE NOUVELLE MEDINA (R9);TN0021279
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"314";AGENCE MHAMDIA (V4);TN0021314
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"52";AGENCE MEGRINE (52);TN0021052
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"253";AGENCE BIZERTE CORNICHE (P3);TN0021253
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"54";AGENCE BEJA (54);TN0021054
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"59";AG. AVENUE HABIB BOURGUIBA IV (59);TN0021059
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"71";AGENCE INTERNATIONALE (71);TN0021071
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"252";AGENCE GAFSA (P2);TN0021252
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"46";AGENCE SFAX MEDINA (46);TN0021046
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"284";AGENCE KEBILI (S4);TN0021284
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"33";AGENCE DJERBA HOUMT ESSOUK (33);TN0021033
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"316";AGENCE ROUTE DE GAMMARTH (V6);TN0021316
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"117";AGENCE SFAX JEDIDA (B7);TN0021117
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"118";AGENCE ARIANA NORD (B8);TN0021118
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"1";AGENCE HAMMAMET (01);TN0021001
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"211";AGENCE MENZEL TEMIME (L1);TN0021211
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"212";AGENCE DAR CHAABANE EL FEHRI (L2);TN0021212
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"27";AGENCE KSIBET EL MEDIOUNI (27);TN0021027
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"25";AGENCE KALAA SGHIRA (25);TN0021025
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"29";AGENCE SIDI BOUALI (29);TN0021029
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"303";AGENCE ENFIDHA VILLE (U3);TN0021303
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"68";AGENCE EL MENZEH VI (68);TN0021068
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"128";AGENCE SOUSSE BELHOUANE (C8);TN0021128
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"108";AGENCE MOHAMED V (A8+65);TN0021108
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"207";AGENCE SIDI BOUSAID (K7);TN0021207
